HER (-8.5358425243895795, 'has_photo')
HER (-1.5765273921355782, 'utah')
HER (-1.5725010945134641, 'tassie')
HER (-1.5721015992831153, 'fossil')
HER (-1.5631597959864902, 'malley')
HER (-1.5605907872554139, 'country')
HER (-1.5605857855648104, 'woman')
HER (-1.5560192818630783, 'leadersdebate')
HER (-1.5326233143105916, 'honored')
HER (-1.5313468038664955, 'tories')
HER (-1.5281188196886557, 'congratulations')
HER (-1.5257542303522558, 'cuts')
HER (-1.5227068036878537, 'cruz')
HER (-1.5131895168217329, 'carolina')
HER (-1.5067908785310817, 'marriage')
HER (-1.4978775323882887, 'scotland')
HER (-1.4976804840650562, 'delighted')
HER (-1.4955902158490133, 'thebachelorau')
HER (-1.4950355874093826, 'abolishtheirs')
HER (-1.4844233121766934, 'birth')
HER (-1.4754587528606138, 'mental')
HER (-1.4748865859888503, 'cameron')
HER (-1.4701656758989092, 'nation')
HER (-1.4663980182264222, 'equality')
HER (-1.4631655589930712, 'right')
HER (-1.4602516270609747, 'low_wps')
HER (-1.4471312843667188, 'news')
HER (-1.4435983948912807, 'abbott')
HER (-1.435187833062636, 'conservative')
HER (-1.4319369092606993, 'makeamericagreatagain')
HER (-1.4310487430634131, 'paproud')
HER (-1.4231035384911523, 'walker16')
HER (-1.4225356658189003, 'agree')
HER (-1.4222025170480377, 'politician')
HER (-1.4092179605255866, 'tory')
HER (-1.4082399188091366, 'scotus')
HER (-1.3948957192482823, 'student')
HER (-1.3934944097863626, 'praying')
HER (-1.393080273253493, 'admin')
HER (-1.3894023497404768, 'caucus')
HER (-1.3814300991566602, 'eu')
HER (-1.3781268766101786, 'american')
HER (-1.3772307073363617, 'unacceptable')
HER (-1.3751354918750969, 'isis')
HER (-1.3733088351640141, 'wisconsin')
HER (-1.3724280604219763, 'world')
HER (-1.3709564062049087, 'horrific')
HER (-1.3671699065390284, 'attacks')
LER (4.4714663434950976, 'netspeak_yes')
LER (3.9355819647432329, 'has_url')
LER (3.3732796886995162, 'pointsoflight')
LER (2.7154531554787495, 'pm')
LER (2.6635919843706555, 'book')
LER (2.6144489587874054, 'gomitt')
LER (2.390936384417468, 'getcovered')
LER (2.3089723983759223, 'krudd')
LER (2.2606010369289353, 'is_analytic_yes')
LER (2.2585990566811804, 'tobefair')
LER (2.2482277457941588, 'askboris')
LER (2.2469496054037514, 'manly')
LER (2.1542870461716128, 'discuss')
LER (1.9596463531948511, 'politas')
LER (1.9506566241828014, 'discussion')
LER (1.8963175941905959, 'va')
LER (1.8298815616266073, 'ndaa')
LER (1.8218137219638206, 'njsots2015')
LER (1.7490308407086788, 'answering')
LER (1.7243100556281201, 'many_sixltr')
LER (1.7231102108064857, 'discussing')
LER (1.6994507393796863, 'assent_yes')
LER (1.6664642248424011, 'excellent')
LER (1.6570221466078212, 'signing')
LER (1.6300144304460777, 'leadontrade')
LER (1.6253944225508599, 'thiruvananthapuram')
LER (1.6168438097599349, 'islington')
LER (1.6083138352233759, 'obama')
LER (1.6041415057355433, 'sure')
LER (1.5779721053327493, 'high_wps')
LER (1.5760877943455667, 'buildingbritain')
LER (1.5747877518714786, '2011')
LER (1.5694728854912294, '30pet')
LER (1.5324274669868243, 'teamjg')
LER (1.5114490479900926, 'has_qmark')
LER (1.5014221892751154, 'enter')
LER (1.4892402817199679, 'actonclimate')
LER (1.486636378720084, 'minister')
LER (1.4775776034184014, 'takeaways')
LER (1.4729909959883341, 'helping')
LER (1.4710483014875531, 'indian')
LER (1.4616304289315445, 'sorry')
LER (1.4497131234614475, 'kr')
LER (1.4329183513599777, 'live')
LER (1.4324075123029461, 'delhi')
LER (1.4291447754730642, 'london')
LER (1.422379773870255, 'hoping')
LER (1.4112741904955846, 'met')
LER (1.3893477800095955, 'irandeal')
LER (1.3892831027989208, 'duplicity')
LER (1.3835191121380988, 'bjp')
LER (1.3833218774666125, 'sea')
LER (1.3831263084751868, 'changes')
LER (1.3804320610447938, 'india')
LER (1.3767304968947072, 'critical')
LER (1.3720080730484885, 'house')
LER (1.3569040096702643, 'lasting')
LER (1.3549640505801666, 'sydney')
LER (1.3545830679687578, 'imp')
LER (1.3517070688489172, 'lateline')
LER (1.3447298479472385, 'cures2015')
LER (1.3342662463274588, 'park')
LER (1.3198740885905911, '2013')
LER (1.3148553907826475, 'lokpal')
LER (1.2906212628709839, 'mitt2012')
LER (1.2808339728072584, 'asktony')
LER (1.2697841549125686, 'nyc')
LER (1.2682167783730716, 'kindness')
LER (1.2680928070907984, 'shri')
LER (1.2603032247687089, 'cnbcgopdebate')
LER (1.2600260343601819, 'photos')
LER (1.2449896161221812, 'morepowers')
LER (1.2414702327686205, 'function')
LER (1.2407210864978535, 'johnson')
LER (1.2375104912874384, 'enrollment')
LER (1.2318657893935794, 'covered')
LER (1.2298519370756797, 'quiz')
LER (1.2283499526893003, 'forum')
LER (1.2153365179054723, 'director')
LER (1.2062222952428734, 'is_tone_yes')
LER (1.2039797958773846, 'water')
LER (1.2019733220526994, 'peter')
LER (1.1917502263392357, 'thanks')
LER (1.1895915003259301, 'reform')
LER (1.1878781166504904, 'rain')
LER (1.1848092154201166, 'costings')
LER (1.1836857791981463, 'local')
LER (1.1788577773190347, 'potential')
LER (1.1666884476176049, 'river')
LER (1.1666868067388978, 'addressed')
LER (1.1660315607209237, 'novel')
LER (1.1628062146207487, 'parliament')
LER (1.1524933791363023, 'camden')
LER (1.1506818108388484, 'opening')
LER (1.1471861384814344, 'rundown')
LER (1.1418964154187161, 'beaface')
LER (1.1399464730888782, 'centre')
LER (1.1375334699228261, 'address')
LER (1.1331745408781495, 'chatting')
LER (1.1301886943364805, 'nathan')
