#inspirational | via @twisteddoodles https://t.co/7LySiVCZer,HER,has_photo,0.087124879
Whoa! Ping pong practice with a ball made of water on the International @Space_Station https://t.co/gyAZAu2fKT https://t.co/0fEfLIxGqA,LER,has_photo,0.00990099
Our hero @DoctorKarl is giving a FREE talk at @Sydney_Uni in April. Register now! | https://t.co/fNa5xgQS30 https://t.co/zwP2hFXf1P,LER,has_photo,0.009236525
Tomorrow at 5:30 am  there'll be a planetary alignment to be enjoyed by those who like getting up early (or staying up very very very late).,LER,has_no_media,0.009174312
Are you an Australian science researcher who loves talking? Apply for FameLab now! https://t.co/MqF03hVtts https://t.co/wKHyufbY7U,LER,has_photo,0.009090909
'Bug'. 'Robot'. 'Cloud'. Where do these tech terms come from? | https://t.co/Vt6SsmhNgS https://t.co/ftRCBrN1Fq,LER,has_photo,0.008264463
What percent of the Sun's heat do we eat in calories? | @xkcdComic's What If column is back! https://t.co/df65H8XQAr https://t.co/YWyE4yGkyH,LER,has_photo,0.007905138
This year  turn a new leaf... of a page of one of @nature's best science books from 2015 | https://t.co/ZNWIx2wHeQ https://t.co/tUd9K1RHr6,LER,has_photo,0.007692308
VIDEO: Brian Cox works through the physics of lightsabers | https://t.co/bOqO4QESYm https://t.co/U3KpPHxV9u,LER,has_photo,0.007352941
Don't forget tomorrow night @austmus and @ausgeo present a talk on the Trailblazers of Astronomy | https://t.co/FxQNaq01Uf,LER,has_no_media,0.006962025
Looking for some fun in the school holidays? Explore the Space Extravaganza at @sydneyobs | https://t.co/RGjseTIPkI https://t.co/M5KXOLgMRd,LER,has_photo,0.006741573
Saturday Night's Alright (For Fighting) (For The Importance of Scientific Literacy),LER,has_no_media,0.00625
Cool! The Rob|Arch conference on Robotics &amp; Fabrication in Art and Design is next month! | https://t.co/MboUvIemds https://t.co/keFaXoNOfv,LER,has_photo,0.00617284
Can light escape black holes? Join Aina Musaeva at @sydneyobs  February 18  to find out | https://t.co/ekef78eeLq https://t.co/TqhBJXOC1k,LER,has_photo,0.006097561
Have an idea for an online Citizen Science project? @ABCscience want to hear from you https://t.co/m386EncnZu,LER,has_no_media,0.006024096
James Watson  Nobel Prize winner for his work on DNA  is speaking at @Sydney_Ideas week. Details here: https://t.co/MGVbKeQrc4,LER,has_no_media,0.005952381
SLIPPERY SURFACES: Discover how Prof. Joanna Aizenberg's nanobiology research is making thing extra slippy | @Sydne‰Û_ https://t.co/TW9RVUM17C,LER,has_no_media,0.00589391
Discover the ideas that underpin our understanding of astronomy in this fun 8-week course | https://t.co/LWPdpGot9W https://t.co/3DM55ASkyG,LER,has_photo,0.005847953
Learn to apply neuroscience to idea-making as @DrTishStratford &amp; @corinnecanter take the floor at @UTS_Science | https://t.co/T9fmZ6kz0S,LER,has_no_media,0.005847953
Tomorrow evening  Carl Wieman examines scientific ways to teach and learn science  https://t.co/NwTeeTWMC7 https://t.co/1kRQThw3Z1,LER,has_photo,0.005649718
What does the future of medical technology hold? Find out at @thewarrencentre's talk in May https://t.co/CZXKHSkO8E https://t.co/8plWbTKNhf,LER,has_photo,0.005291005
If you know a sweet science project  entries for the @austmus Eureka Prizes close May 6. | https://t.co/h4CkUHbt1p https://t.co/RcCqZpy2Uy,LER,has_photo,0.004935225
Tonight  Andrew Jacob presents Sydney Observatory's history straight off the top of his dome https://t.co/2NIyeJl5kp https://t.co/8KjF4t4upr,LER,has_photo,0.004854369
This week in Science! Via @Futurism https://t.co/ovIf8WdMTF,LER,has_photo,0.003636364
Can you think yourself into a different person? | via @HuffingtonPost https://t.co/2OHBDmWuaH https://t.co/amSkuJpFZT,LER,has_photo,0
This has us cooing - pigeons are uncommonly good at finding cancer cells | via @ScienceDaily https://t.co/nI8pDfpySE,LER,has_no_media,0
19th-century artists imagined life in the YEAR TWO THOUSAND (fact: we have aquacroquet now) https://t.co/71NxDX1VNC,LER,has_no_media,0
Frankenstein. Stem Cells. 10 McRib sandwiches. HAS SCIENCE GONE TOO FAR? https://t.co/Mmz8za96r6,LER,has_no_media,0
Twinkle twinkle little star... but why don't planets twinkle? | via @earthskyscience https://t.co/SSCELrjOrj #astronomy #space #science,LER,has_no_media,0
Scientists Politely Remind World That Clean Energy Technology Ready To Go Whenever https://t.co/wSNbTMXEzy via @theonion,LER,has_no_media,0
We love the National Indigenous Science Education Program set up by @Macquarie_Uni - check out the footage here: https://t.co/o2V3dNYKL5,LER,has_video,0
What's your favourite song about science? Ours is probably Science is Real by They Might Be Giants https://t.co/GiMoCZ80Ab,LER,has_video,0
SCIENCE! (Well  technically engineering  but we're still excited) https://t.co/qbttIiC9AI,LER,has_no_media,0
Here at #SydScienceFest we have great affection for cats  science  and ping pong. This article ticks a lot of boxes. https://t.co/qlF2lisej4,LER,has_no_media,0
Time to fulfil that childhood dream! @NASA open applications for new astronauts next week! https://t.co/MypCshjOAQ https://t.co/8PMpLyhlyv,LER,has_photo,0
The Boring Billion: from 1.8 billion to 800m years ago life on Earth was exclusively slime | https://t.co/fJQvhEkzNv https://t.co/2cZrKfkSW6,LER,has_photo,0
So how *do* our brains reconstruct the visual world? | via @sciencebeta https://t.co/h1AI7S7xGK https://t.co/n6GDQWqTMF,LER,has_photo,0
Congratulations to NASA for a successful #Cygnus launch! https://t.co/fRdvXROWMv,LER,has_no_media,0
Tomorrow! Don't miss Michal Lipson speaking on how light could be the future of data centres https://t.co/fzsvTUhjzQ https://t.co/rq99uFO5ZP,LER,has_photo,0
USPHS: Having a pet dog is good for your kid's mental health. (See also: dogs are good) https://t.co/9Ogfi99SwL,LER,has_no_media,0
Study finds a single penguin can break up a huddle. Also THEY'RE SO CUTE. | via @sciencenews https://t.co/gNJ5OkKUtK,LER,has_no_media,0
A new mathematical model predicts how funny a made-up word is. How boopily quaznicular! https://t.co/POMLdXcdPB,LER,has_no_media,0
Gates &amp; Zuckerberg have joined forces to create a clean energy fund |via @sciencealert https://t.co/WFYUbg1CtD https://t.co/5LGKcOULHX,LER,has_photo,0
The future of gene editing is being decided right now in Washington | via @PopSciAU https://t.co/7DhXkqpyql https://t.co/ZYEsAYqrlN,LER,has_photo,0
How long's a piece of string theory? @BGreene is coming to Aus to tell you | via @thinkincAU https://t.co/vffCCXcQjV https://t.co/AlbnzeJss8,LER,has_photo,0
Tomorrow night  catch free pub-based neuroscience fun in Darlinghurst with @MindzBrainplay | https://t.co/YeZn0uZh8Q https://t.co/6X6lrC3yBL,LER,has_photo,0
Bizarre Sex and Swarm Intelligence: Ultimo Library's Inspiring Science talks |@cityofsydney https://t.co/55jqWMoD1X https://t.co/vLjNcLlPIn,LER,has_photo,0
VIDEO: Alexei Sayle wrote possibly the best George Formby parody song about relativity | https://t.co/ZBj77MJUnV https://t.co/FtdYpai5A6,LER,has_photo,0
Q: Do your kids love gaming + physics? A: Yes. Check out @EdXOnline's Game Physics course | https://t.co/PyEh3jNYSW https://t.co/7MPWkShIqT,LER,has_photo,0
Australian scientists find nearly 1000 new galaxies hidden behind the Milky Way | via @smh https://t.co/caPqVlWe8q https://t.co/ZhnTOBNOZ6,LER,has_photo,0
@SydScienceFest https://t.co/Kq2wDe6Fb2,LER,has_animated_gif,0
Tonight at the @SeymourSydney  Huang Yi dances with his robot companion Kuka | https://t.co/xRQavx8YPi https://t.co/Apw5HUMYoQ,LER,has_photo,0
VIDEO: Stephen Colbert learns about gravitational waves by screaming 'science' at a laser #notmakingthisup https://t.co/3k8BMK8BaY,LER,has_video,0
Don't forget that entries for the Google Science Fair close on May 18! | https://t.co/gf80Y8EAvc https://t.co/LKoloLWuv0,LER,has_photo,0
