achieve_yes
achieve_yes few_sixltr
cause_yes differ_yes feel_yes
cause_yes differ_yes hear_yes
cause_yes differ_yes netspeak_yes
cause_yes differ_yes power_yes
cause_yes differ_yes reward_yes
cause_yes differ_yes risk_yes
cause_yes differ_yes see_yes
cause_yes discrep_yes
cause_yes discrep_yes achieve_yes
cause_yes discrep_yes affiliation_yes
cause_yes discrep_yes certain_yes
cause_yes discrep_yes differ_yes
cause_yes discrep_yes feel_yes
cause_yes discrep_yes hear_yes
cause_yes discrep_yes netspeak_yes
cause_yes discrep_yes power_yes
cause_yes discrep_yes reward_yes
cause_yes discrep_yes see_yes
cause_yes discrep_yes tentat_yes
cause_yes feel_yes
cause_yes feel_yes achieve_yes
cause_yes feel_yes affiliation_yes
cause_yes feel_yes netspeak_yes
cause_yes feel_yes power_yes
cause_yes feel_yes risk_yes
cause_yes hear_yes
cause_yes hear_yes achieve_yes
cause_yes hear_yes affiliation_yes
cause_yes hear_yes netspeak_yes
cause_yes hear_yes power_yes
cause_yes hear_yes reward_yes
cause_yes hear_yes risk_yes
cause_yes many_sixltr
cause_yes many_sixltr has_hashtag
cause_yes netspeak_yes
cause_yes netspeak_yes assent_yes
cause_yes netspeak_yes few_sixltr
cause_yes netspeak_yes has_exclam
cause_yes netspeak_yes has_hashtag
cause_yes netspeak_yes has_photo
cause_yes netspeak_yes has_qmark
cause_yes netspeak_yes has_url
cause_yes netspeak_yes high_wps
cause_yes netspeak_yes low_wps
cause_yes netspeak_yes many_sixltr
cause_yes netspeak_yes nonflu_yes
cause_yes power_yes
cause_yes power_yes few_sixltr
cause_yes power_yes many_sixltr
cause_yes power_yes netspeak_yes
cause_yes power_yes reward_yes
cause_yes power_yes risk_yes
cause_yes reward_yes
cause_yes reward_yes netspeak_yes
cause_yes risk_yes
cause_yes risk_yes netspeak_yes
cause_yes see_yes
cause_yes see_yes achieve_yes
cause_yes see_yes affiliation_yes
cause_yes see_yes feel_yes
cause_yes see_yes hear_yes
cause_yes see_yes netspeak_yes
cause_yes see_yes power_yes
cause_yes see_yes reward_yes
cause_yes see_yes risk_yes
cause_yes tentat_yes
cause_yes tentat_yes achieve_yes
cause_yes tentat_yes affiliation_yes
cause_yes tentat_yes certain_yes
cause_yes tentat_yes differ_yes
cause_yes tentat_yes feel_yes
cause_yes tentat_yes hear_yes
cause_yes tentat_yes netspeak_yes
cause_yes tentat_yes power_yes
cause_yes tentat_yes reward_yes
cause_yes tentat_yes see_yes
certain_yes
certain_yes achieve_yes
certain_yes achieve_yes netspeak_yes
certain_yes achieve_yes power_yes
certain_yes achieve_yes reward_yes
certain_yes affiliation_yes
certain_yes affiliation_yes achieve_yes
certain_yes affiliation_yes few_sixltr
certain_yes affiliation_yes has_hashtag
certain_yes affiliation_yes low_wps
certain_yes affiliation_yes many_sixltr
certain_yes affiliation_yes netspeak_yes
certain_yes affiliation_yes power_yes
certain_yes affiliation_yes reward_yes
certain_yes affiliation_yes risk_yes
certain_yes differ_yes
certain_yes differ_yes achieve_yes
certain_yes differ_yes affiliation_yes
certain_yes differ_yes feel_yes
certain_yes differ_yes hear_yes
certain_yes differ_yes many_sixltr
certain_yes differ_yes netspeak_yes
certain_yes differ_yes power_yes
certain_yes differ_yes reward_yes
certain_yes differ_yes risk_yes
certain_yes differ_yes see_yes
certain_yes feel_yes
certain_yes feel_yes achieve_yes
certain_yes feel_yes affiliation_yes
certain_yes feel_yes netspeak_yes
certain_yes has_hashtag
certain_yes hear_yes
certain_yes hear_yes achieve_yes
certain_yes hear_yes affiliation_yes
certain_yes hear_yes feel_yes
certain_yes hear_yes netspeak_yes
certain_yes hear_yes power_yes
certain_yes hear_yes reward_yes
certain_yes many_sixltr
certain_yes netspeak_yes
certain_yes netspeak_yes assent_yes
certain_yes netspeak_yes few_sixltr
certain_yes netspeak_yes has_exclam
certain_yes netspeak_yes has_hashtag
certain_yes netspeak_yes has_photo
certain_yes netspeak_yes has_qmark
certain_yes netspeak_yes has_url
certain_yes netspeak_yes high_wps
certain_yes netspeak_yes low_wps
certain_yes netspeak_yes many_sixltr
certain_yes power_yes
certain_yes power_yes few_sixltr
certain_yes power_yes many_sixltr
certain_yes power_yes netspeak_yes
certain_yes power_yes reward_yes
certain_yes power_yes risk_yes
certain_yes reward_yes
certain_yes reward_yes netspeak_yes
certain_yes reward_yes risk_yes
certain_yes risk_yes
certain_yes risk_yes netspeak_yes
certain_yes see_yes
certain_yes see_yes achieve_yes
certain_yes see_yes affiliation_yes
certain_yes see_yes feel_yes
certain_yes see_yes hear_yes
certain_yes see_yes netspeak_yes
certain_yes see_yes power_yes
certain_yes see_yes reward_yes
certain_yes see_yes risk_yes
differ_yes
differ_yes achieve_yes
differ_yes achieve_yes few_sixltr
differ_yes achieve_yes netspeak_yes
differ_yes achieve_yes power_yes
differ_yes achieve_yes reward_yes
differ_yes achieve_yes risk_yes
differ_yes affiliation_yes
differ_yes affiliation_yes achieve_yes
differ_yes affiliation_yes few_sixltr
differ_yes affiliation_yes high_wps
differ_yes affiliation_yes low_wps
differ_yes affiliation_yes many_sixltr
differ_yes affiliation_yes netspeak_yes
differ_yes affiliation_yes power_yes
differ_yes affiliation_yes reward_yes
differ_yes affiliation_yes risk_yes
differ_yes feel_yes
differ_yes feel_yes achieve_yes
differ_yes feel_yes affiliation_yes
differ_yes feel_yes few_sixltr
differ_yes feel_yes netspeak_yes
differ_yes feel_yes power_yes
differ_yes few_sixltr
differ_yes few_sixltr has_hashtag
differ_yes has_hashtag
differ_yes hear_yes
differ_yes hear_yes achieve_yes
differ_yes hear_yes affiliation_yes
differ_yes hear_yes feel_yes
differ_yes hear_yes few_sixltr
differ_yes hear_yes many_sixltr
differ_yes hear_yes netspeak_yes
differ_yes hear_yes power_yes
differ_yes hear_yes reward_yes
differ_yes hear_yes risk_yes
differ_yes high_wps
differ_yes high_wps has_hashtag
differ_yes low_wps
differ_yes low_wps has_hashtag
differ_yes many_sixltr
differ_yes many_sixltr has_hashtag
differ_yes many_sixltr low_wps
differ_yes netspeak_yes
differ_yes netspeak_yes assent_yes
differ_yes netspeak_yes few_sixltr
differ_yes netspeak_yes has_exclam
differ_yes netspeak_yes has_hashtag
differ_yes netspeak_yes has_photo
differ_yes netspeak_yes has_qmark
differ_yes netspeak_yes has_url
differ_yes netspeak_yes high_wps
differ_yes netspeak_yes low_wps
differ_yes netspeak_yes many_sixltr
differ_yes netspeak_yes nonflu_yes
differ_yes power_yes
differ_yes power_yes few_sixltr
differ_yes power_yes has_hashtag
differ_yes power_yes low_wps
differ_yes power_yes many_sixltr
differ_yes power_yes netspeak_yes
differ_yes power_yes reward_yes
differ_yes power_yes risk_yes
differ_yes reward_yes
differ_yes reward_yes has_hashtag
differ_yes reward_yes many_sixltr
differ_yes reward_yes netspeak_yes
differ_yes reward_yes risk_yes
differ_yes risk_yes
differ_yes risk_yes many_sixltr
differ_yes risk_yes netspeak_yes
differ_yes see_yes
differ_yes see_yes achieve_yes
differ_yes see_yes affiliation_yes
differ_yes see_yes feel_yes
differ_yes see_yes hear_yes
differ_yes see_yes many_sixltr
differ_yes see_yes netspeak_yes
differ_yes see_yes power_yes
differ_yes see_yes reward_yes
differ_yes see_yes risk_yes
discrep_yes
discrep_yes achieve_yes
discrep_yes achieve_yes netspeak_yes
discrep_yes achieve_yes power_yes
discrep_yes achieve_yes reward_yes
discrep_yes achieve_yes risk_yes
discrep_yes affiliation_yes
discrep_yes affiliation_yes achieve_yes
discrep_yes affiliation_yes netspeak_yes
discrep_yes affiliation_yes power_yes
discrep_yes affiliation_yes reward_yes
discrep_yes affiliation_yes risk_yes
discrep_yes certain_yes
discrep_yes certain_yes achieve_yes
discrep_yes certain_yes affiliation_yes
discrep_yes certain_yes differ_yes
discrep_yes certain_yes feel_yes
discrep_yes certain_yes hear_yes
discrep_yes certain_yes netspeak_yes
discrep_yes certain_yes power_yes
discrep_yes certain_yes reward_yes
discrep_yes certain_yes risk_yes
discrep_yes certain_yes see_yes
discrep_yes differ_yes
discrep_yes differ_yes achieve_yes
discrep_yes differ_yes affiliation_yes
discrep_yes differ_yes feel_yes
discrep_yes differ_yes hear_yes
discrep_yes differ_yes netspeak_yes
discrep_yes differ_yes power_yes
discrep_yes differ_yes reward_yes
discrep_yes differ_yes risk_yes
discrep_yes differ_yes see_yes
discrep_yes feel_yes
discrep_yes feel_yes achieve_yes
discrep_yes feel_yes affiliation_yes
discrep_yes feel_yes power_yes
discrep_yes feel_yes reward_yes
discrep_yes hear_yes
discrep_yes hear_yes achieve_yes
discrep_yes hear_yes affiliation_yes
discrep_yes hear_yes netspeak_yes
discrep_yes hear_yes power_yes
discrep_yes many_sixltr
discrep_yes netspeak_yes
discrep_yes netspeak_yes assent_yes
discrep_yes netspeak_yes few_sixltr
discrep_yes netspeak_yes has_exclam
discrep_yes netspeak_yes has_hashtag
discrep_yes netspeak_yes has_qmark
discrep_yes netspeak_yes has_url
discrep_yes netspeak_yes high_wps
discrep_yes netspeak_yes low_wps
discrep_yes netspeak_yes many_sixltr
discrep_yes power_yes
discrep_yes power_yes netspeak_yes
discrep_yes power_yes reward_yes
discrep_yes power_yes risk_yes
discrep_yes reward_yes
discrep_yes reward_yes netspeak_yes
discrep_yes reward_yes risk_yes
discrep_yes risk_yes
discrep_yes risk_yes netspeak_yes
discrep_yes see_yes
discrep_yes see_yes achieve_yes
discrep_yes see_yes affiliation_yes
discrep_yes see_yes feel_yes
discrep_yes see_yes hear_yes
discrep_yes see_yes netspeak_yes
discrep_yes see_yes power_yes
discrep_yes see_yes reward_yes
discrep_yes see_yes risk_yes
discrep_yes tentat_yes
discrep_yes tentat_yes achieve_yes
discrep_yes tentat_yes affiliation_yes
discrep_yes tentat_yes certain_yes
discrep_yes tentat_yes differ_yes
discrep_yes tentat_yes feel_yes
discrep_yes tentat_yes hear_yes
discrep_yes tentat_yes netspeak_yes
discrep_yes tentat_yes power_yes
discrep_yes tentat_yes reward_yes
discrep_yes tentat_yes risk_yes
discrep_yes tentat_yes see_yes
feel_yes
feel_yes achieve_yes
feel_yes achieve_yes netspeak_yes
feel_yes achieve_yes power_yes
feel_yes achieve_yes reward_yes
feel_yes affiliation_yes
feel_yes affiliation_yes achieve_yes
feel_yes affiliation_yes few_sixltr
feel_yes affiliation_yes netspeak_yes
feel_yes affiliation_yes power_yes
feel_yes affiliation_yes reward_yes
feel_yes affiliation_yes risk_yes
feel_yes few_sixltr
feel_yes few_sixltr has_hashtag
feel_yes few_sixltr high_wps
feel_yes many_sixltr
feel_yes netspeak_yes
feel_yes netspeak_yes assent_yes
feel_yes netspeak_yes few_sixltr
feel_yes netspeak_yes has_exclam
feel_yes netspeak_yes has_hashtag
feel_yes netspeak_yes has_photo
feel_yes netspeak_yes has_url
feel_yes netspeak_yes high_wps
feel_yes netspeak_yes low_wps
feel_yes netspeak_yes many_sixltr
feel_yes power_yes
feel_yes power_yes netspeak_yes
feel_yes power_yes reward_yes
feel_yes power_yes risk_yes
feel_yes reward_yes
feel_yes reward_yes netspeak_yes
feel_yes risk_yes
feel_yes risk_yes netspeak_yes
few_sixltr
few_sixltr has_animated_gif
few_sixltr has_animated_gif has_hashtag
few_sixltr has_animated_gif has_url
few_sixltr has_exclam
few_sixltr has_exclam has_animated_gif
few_sixltr has_exclam has_hashtag
few_sixltr has_exclam has_photo
few_sixltr has_exclam has_qmark
few_sixltr has_exclam has_url
few_sixltr has_exclam has_video
few_sixltr has_hashtag
few_sixltr has_hashtag has_url
few_sixltr has_photo
few_sixltr has_photo has_hashtag
few_sixltr has_photo has_url
few_sixltr has_qmark
few_sixltr has_qmark has_hashtag
few_sixltr has_qmark has_photo
few_sixltr has_qmark has_url
few_sixltr has_qmark has_video
few_sixltr has_url
few_sixltr has_video
few_sixltr has_video has_hashtag
few_sixltr has_video has_url
few_sixltr high_wps
few_sixltr high_wps has_animated_gif
few_sixltr high_wps has_exclam
few_sixltr high_wps has_hashtag
few_sixltr high_wps has_photo
few_sixltr high_wps has_url
few_sixltr high_wps has_video
few_sixltr low_wps
few_sixltr low_wps has_animated_gif
few_sixltr low_wps has_exclam
few_sixltr low_wps has_hashtag
few_sixltr low_wps has_photo
few_sixltr low_wps has_qmark
few_sixltr low_wps has_url
filler_yes
filler_yes few_sixltr
has_animated_gif
has_animated_gif has_hashtag
has_animated_gif has_hashtag has_url
has_animated_gif has_url
has_exclam
has_exclam has_animated_gif
has_exclam has_animated_gif has_hashtag
has_exclam has_animated_gif has_url
has_exclam has_hashtag
has_exclam has_hashtag has_url
has_exclam has_photo
has_exclam has_photo has_hashtag
has_exclam has_photo has_url
has_exclam has_qmark
has_exclam has_qmark has_hashtag
has_exclam has_qmark has_photo
has_exclam has_qmark has_url
has_exclam has_qmark has_video
has_exclam has_url
has_exclam has_video
has_exclam has_video has_hashtag
has_exclam has_video has_url
has_hashtag
has_hashtag has_url
has_photo
has_photo has_hashtag
has_photo has_hashtag has_url
has_photo has_url
has_qmark
has_qmark has_animated_gif
has_qmark has_animated_gif has_hashtag
has_qmark has_hashtag
has_qmark has_hashtag has_url
has_qmark has_photo
has_qmark has_photo has_hashtag
has_qmark has_photo has_url
has_qmark has_url
has_qmark has_video
has_qmark has_video has_hashtag
has_qmark has_video has_url
has_url
has_video
has_video has_hashtag
has_video has_hashtag has_url
has_video has_url
hear_yes
hear_yes achieve_yes
hear_yes achieve_yes netspeak_yes
hear_yes achieve_yes power_yes
hear_yes achieve_yes reward_yes
hear_yes achieve_yes risk_yes
hear_yes affiliation_yes
hear_yes affiliation_yes achieve_yes
hear_yes affiliation_yes many_sixltr
hear_yes affiliation_yes netspeak_yes
hear_yes affiliation_yes power_yes
hear_yes affiliation_yes reward_yes
hear_yes affiliation_yes risk_yes
hear_yes feel_yes
hear_yes feel_yes affiliation_yes
hear_yes feel_yes netspeak_yes
hear_yes feel_yes power_yes
hear_yes few_sixltr
hear_yes few_sixltr low_wps
hear_yes high_wps
hear_yes high_wps has_hashtag
hear_yes low_wps
hear_yes low_wps has_hashtag
hear_yes many_sixltr
hear_yes many_sixltr low_wps
hear_yes netspeak_yes
hear_yes netspeak_yes assent_yes
hear_yes netspeak_yes few_sixltr
hear_yes netspeak_yes has_exclam
hear_yes netspeak_yes has_hashtag
hear_yes netspeak_yes has_photo
hear_yes netspeak_yes has_qmark
hear_yes netspeak_yes has_url
hear_yes netspeak_yes high_wps
hear_yes netspeak_yes low_wps
hear_yes netspeak_yes many_sixltr
hear_yes netspeak_yes nonflu_yes
hear_yes power_yes
hear_yes power_yes few_sixltr
hear_yes power_yes has_hashtag
hear_yes power_yes low_wps
hear_yes power_yes many_sixltr
hear_yes power_yes netspeak_yes
hear_yes power_yes reward_yes
hear_yes power_yes risk_yes
hear_yes reward_yes
hear_yes reward_yes many_sixltr
hear_yes reward_yes netspeak_yes
hear_yes reward_yes risk_yes
hear_yes risk_yes
hear_yes risk_yes many_sixltr
hear_yes risk_yes netspeak_yes
high_wps
high_wps has_animated_gif
high_wps has_animated_gif has_hashtag
high_wps has_animated_gif has_url
high_wps has_exclam
high_wps has_exclam has_hashtag
high_wps has_exclam has_url
high_wps has_hashtag
high_wps has_hashtag has_url
high_wps has_photo
high_wps has_photo has_hashtag
high_wps has_photo has_url
high_wps has_qmark
high_wps has_qmark has_hashtag
high_wps has_url
high_wps has_video
high_wps has_video has_hashtag
high_wps has_video has_url
insight_yes
insight_yes achieve_yes
insight_yes achieve_yes netspeak_yes
insight_yes achieve_yes power_yes
insight_yes achieve_yes reward_yes
insight_yes achieve_yes risk_yes
insight_yes affiliation_yes
insight_yes affiliation_yes achieve_yes
insight_yes affiliation_yes many_sixltr
insight_yes affiliation_yes netspeak_yes
insight_yes affiliation_yes power_yes
insight_yes affiliation_yes reward_yes
insight_yes affiliation_yes risk_yes
insight_yes cause_yes
